"ID","时间","分类","类型","金额","账户1","账户2","备注","已报销","记账者","账单标记","账单图片"
"qj167248507871813051","2022-12-31 19:11","运动","支出","68.0",,,"游泳","",,,
"qj167248159924516163","2022-12-31 18:13","三餐","支出","10.0",,,"","",,,
"qj167246834390218180","2022-12-31 14:32","三餐","支出","13.0",,,"","",,,
"qj167239091887615523","2022-12-30 17:01","三餐","支出","17.05",,,"","",,,
"qj167237382582315993","2022-12-30 12:17","短途交通","支出","4.2",,,"","",,,
"qj167237380965018171","2022-12-30 12:16","三餐","支出","15.0",,,"","",,,
"qj167230464120417339","2022-12-29 17:04","三餐","支出","23.4",,,"","",,,
"qj167228592491419068","2022-12-29 11:52","短途交通","支出","8.2",,,"","",,,
"qj167228592086212319","2022-12-29 11:51","三餐","支出","16.0",,,"","",,,
"qj167219921243214817","2022-12-28 11:46","三餐","支出","13.0",,,"","",,,
"qj167219817524213322","2022-12-28 11:29","三餐","支出","15.0",,,"","",,,
"qj167219619422110295","2022-12-28 10:56","短途交通","支出","6.0",,,"","",,,
"qj167215544266011926","2022-11-27 23:37","果坚奶","支出","10.2",,,"","",,,
